iter	Passed	Remaining
0	0	85
1	1	88
2	2	85
3	3	83
4	4	86
5	5	87
6	6	86
7	7	87
8	8	86
9	9	85
10	10	84
11	11	84
12	12	83
13	13	82
14	14	82
15	15	82
16	16	80
17	17	78
18	18	77
19	18	75
20	19	74
21	20	73
22	21	72
23	22	70
24	22	68
25	24	68
26	24	67
27	25	65
28	26	65
29	27	64
30	28	63
31	29	61
32	29	60
33	30	59
34	31	58
35	32	57
36	33	56
37	33	55
38	34	54
39	35	53
40	36	52
41	36	50
42	37	49
43	38	48
44	38	47
45	39	46
46	40	45
47	41	44
48	42	44
49	43	43
50	43	42
51	44	41
52	45	40
53	46	39
54	47	39
55	48	38
56	49	37
57	50	36
58	50	35
59	51	34
60	52	33
61	53	32
62	53	31
63	54	30
64	55	29
65	56	28
66	57	28
67	58	27
68	58	26
69	59	25
70	60	24
71	60	23
72	61	22
73	62	21
74	62	20
75	63	20
76	64	19
77	65	18
78	65	17
79	66	16
80	67	15
81	67	14
82	68	14
83	69	13
84	70	12
85	71	11
86	71	10
87	72	9
88	73	9
89	74	8
90	74	7
91	75	6
92	76	5
93	77	4
94	77	4
95	78	3
96	79	2
97	79	1
98	80	0
99	81	0
